Date,Species,Trap,Latitude,Longitude,AddressAccuracy,NumMosquitos,WnvPresent,Station,Tavg,Depart,Heat,CodeSum,PrecipTotal,SeaLevel,ResultDir,AvgSpeed,Sunrise_1,Sunset_1,daylight_duration,Humidity
2007-05-29,CULEX PIPIENS/RESTUANS,T002,41.95469,-87.800991,9,1,0,1.0,74.0,10.0,0.0,BR HZ,0.0,30.11,18,6.5,1900-01-01 04:21:00,1900-01-01 19:17:00,0 days 14:56:00,57.4
2007-05-29,CULEX RESTUANS,T002,41.95469,-87.800991,9,1,0,1.0,74.0,10.0,0.0,BR HZ,0.0,30.11,18,6.5,1900-01-01 04:21:00,1900-01-01 19:17:00,0 days 14:56:00,57.4
2007-05-29,CULEX RESTUANS,T007,41.994991,-87.769279,9,1,0,1.0,74.0,10.0,0.0,BR HZ,0.0,30.11,18,6.5,1900-01-01 04:21:00,1900-01-01 19:17:00,0 days 14:56:00,57.4
2007-05-29,CULEX PIPIENS/RESTUANS,T015,41.974089,-87.824812,8,1,0,1.0,74.0,10.0,0.0,BR HZ,0.0,30.11,18,6.5,1900-01-01 04:21:00,1900-01-01 19:17:00,0 days 14:56:00,57.4
2007-05-29,CULEX RESTUANS,T015,41.974089,-87.824812,8,4,0,1.0,74.0,10.0,0.0,BR HZ,0.0,30.11,18,6.5,1900-01-01 04:21:00,1900-01-01 19:17:00,0 days 14:56:00,57.4
2007-05-29,CULEX RESTUANS,T045,41.9216,-87.666455,8,2,0,1.0,74.0,10.0,0.0,BR HZ,0.0,30.11,18,6.5,1900-01-01 04:21:00,1900-01-01 19:17:00,0 days 14:56:00,57.4
2007-05-29,CULEX RESTUANS,T046,41.891118,-87.654491,8,1,0,1.0,74.0,10.0,0.0,BR HZ,0.0,30.11,18,6.5,1900-01-01 04:21:00,1900-01-01 19:17:00,0 days 14:56:00,57.4
2007-05-29,CULEX RESTUANS,T049,41.896282,-87.655232,8,1,0,1.0,74.0,10.0,0.0,BR HZ,0.0,30.11,18,6.5,1900-01-01 04:21:00,1900-01-01 19:17:00,0 days 14:56:00,57.4
2007-05-29,CULEX PIPIENS/RESTUANS,T050,41.919343,-87.694259,8,1,0,1.0,74.0,10.0,0.0,BR HZ,0.0,30.11,18,6.5,1900-01-01 04:21:00,1900-01-01 19:17:00,0 days 14:56:00,57.4
2007-05-29,CULEX PIPIENS/RESTUANS,T054,41.921965,-87.632085,8,2,0,1.0,74.0,10.0,0.0,BR HZ,0.0,30.11,18,6.5,1900-01-01 04:21:00,1900-01-01 19:17:00,0 days 14:56:00,57.4
